BIO	TOPO	TYPE
TI000177	المغرب	TOPO_PR
TI000177	33.291967@-4.790039	TOID_PR
TI000178	60	DEATH_AH
TI000178	البصرة	TOPO_SE
TI000178	30.53302@47.79747	TOID_SE
TI000178	الطائف	TOPO_SE
TI000178	21.27028@40.41583	TOID_SE
TI000178	الحجاز	TOPO_SE
TI000178	23.285756@39.572754	TOID_SE
TI000178	العراق	TOPO_PR
TI000178	32.270413@45.032959	TOID_PR
TI000178	فارس	TOPO_SE
TI000178	29.079216@52.756348	TOID_SE
TI000178	الكوفة	TOPO_SE
TI000178	32.03472@44.40333	TOID_SE
TI000179	60	DEATH_AH
TI000179	NoToponym	TOPO_NO
TI000180	60	DEATH_AH
TI000180	NoToponym	TOPO_NO
TI000181	60	DEATH_AH
TI000181	مكة	TOPO_PR
TI000181	21.416667@39.816667	TOID_PR
TI000182	60	DEATH_AH
TI000182	المدينة	TOPO_PR
TI000182	24.46861@39.61417	TOID_PR
TI000183	60	DEATH_AH
TI000183	العراق	TOPO_SE
TI000183	32.270413@45.032959	TOID_SE
TI000183	القادسية	TOPO_SE
TI000183	34.072114@43.983078	TOID_SE
TI000183	فارس	TOPO_PR
TI000183	29.079216@52.756348	TOID_PR
TI000183	المدينة	TOPO_SE
TI000183	24.46861@39.61417	TOID_SE
TI000183	الجحفة	TOPO_SE
TI000183	22.631884@39.072876	TOID_SE
TI000183	الكوفة	TOPO_SE
TI000183	32.03472@44.40333	TOID_SE
TI000184	60	DEATH_AH
TI000184	دمشق	TOPO_PR
TI000184	33.511603@36.306633	TOID_PR
TI000184	الشام	TOPO_SE
TI000184	34.672973@37.155762	TOID_SE
TI000184	المدينة	TOPO_SE
TI000184	24.46861@39.61417	TOID_SE
TI000184	الكوفة	TOPO_SE
TI000184	32.03472@44.40333	TOID_SE
TI000185	60	DEATH_AH
TI000185	مكة	TOPO_SE
TI000185	21.416667@39.816667	TOID_SE
TI000185	الطائف	TOPO_SE
TI000185	21.27028@40.41583	TOID_SE
TI000185	طبرستان	TOPO_SE
TI000185	36.318666@52.844238	TOID_SE
TI000185	المدينة	TOPO_PR
TI000185	24.46861@39.61417	TOID_PR
TI000185	الكوفة	TOPO_SE
TI000185	32.03472@44.40333	TOID_SE
TI000185	البصرة	TOPO_SE
TI000185	30.53302@47.79747	TOID_SE
TI000186	60	DEATH_AH
TI000186	NoToponym	TOPO_NO
TI000187	60	DEATH_AH
TI000187	بغداد	TOPO_SE
TI000187	33.340309@44.344082	TOID_SE
TI000187	دمشق	TOPO_PR
TI000187	33.511603@36.306633	TOID_PR
TI000187	الروم	TOPO_SE
TI000187	39.201611@33.991699	TOID_SE
TI000188	60	DEATH_AH
TI000188	المدينة	TOPO_SE
TI000188	24.46861@39.61417	TOID_SE
TI000188	الكوفة	TOPO_PR
TI000188	32.03472@44.40333	TOID_PR
TI000188	البصرة	TOPO_SE
TI000188	30.53302@47.79747	TOID_SE
TI000188	ريدة	TOPO_SE
TI000188	15.81421@44.04085	TOID_SE
TI000189	60	DEATH_AH
TI000189	NoToponym	TOPO_NO
TI000190	60	DEATH_AH
TI000190	القدس	TOPO_PR
TI000190	31.76904@35.21633	TOID_PR
TI000190	دمشق	TOPO_SE
TI000190	33.511603@36.306633	TOID_SE
TI000190	الشام	TOPO_SE
TI000190	34.672973@37.155762	TOID_SE
TI000190	حمص	TOPO_SE
TI000190	34.72682@36.72339	TOID_SE
TI000191	60	DEATH_AH
TI000191	مكة	TOPO_PR
TI000191	21.416667@39.816667	TOID_PR
TI000192	60	DEATH_AH
TI000192	ريدة	TOPO_SE
TI000192	15.81421@44.04085	TOID_SE
TI000192	الشام	TOPO_PR
TI000192	34.672973@37.155762	TOID_PR
TI000193	60	DEATH_AH
TI000193	سميساط	TOPO_PR
TI000193	37.578655@38.48105	TOID_PR
TI000194	60	DEATH_AH
TI000194	NoToponym	TOPO_NO
TI000195	60	DEATH_AH
TI000195	الكوفة	TOPO_PR
TI000195	32.03472@44.40333	TOID_PR
TI000196	60	DEATH_AH
TI000196	المدينة	TOPO_PR
TI000196	24.46861@39.61417	TOID_PR
TI000197	60	DEATH_AH
TI000197	NoToponym	TOPO_NO
TI000198	60	DEATH_AH
TI000198	NoToponym	TOPO_NO
TI000199	60	DEATH_AH
TI000199	الاردن	TOPO_PR
TI000199	32.849827@35.338898	TOID_PR
TI000200	60	DEATH_AH
TI000200	الشام	TOPO_PR
TI000200	34.672973@37.155762	TOID_PR
TI000201	60	DEATH_AH
TI000201	خراسان	TOPO_SE
TI000201	36.564365@58.831787	TOID_SE
TI000201	البصرة	TOPO_PR
TI000201	30.53302@47.79747	TOID_PR
TI000201	الشام	TOPO_SE
TI000201	34.672973@37.155762	TOID_SE
TI000201	دمشق	TOPO_SE
TI000201	33.511603@36.306633	TOID_SE
TI000201	نيسابور	TOPO_SE
TI000201	36.21329@58.79576	TOID_SE
TI000201	مكة	TOPO_SE
TI000201	21.416667@39.816667	TOID_SE
TI000202	60	DEATH_AH
TI000202	حمص	TOPO_PR
TI000202	34.72682@36.72339	TOID_PR
TI000202	الروم	TOPO_SE
TI000202	39.201611@33.991699	TOID_SE
TI000203	60	DEATH_AH
TI000203	المدينة	TOPO_PR
TI000203	24.46861@39.61417	TOID_PR
TI000204	60	DEATH_AH
TI000204	مكة	TOPO_SE
TI000204	21.416667@39.816667	TOID_SE
TI000204	المدينة	TOPO_PR
TI000204	24.46861@39.61417	TOID_PR
TI000204	ريدة	TOPO_SE
TI000204	15.81421@44.04085	TOID_SE
TI000204	البصرة	TOPO_SE
TI000204	30.53302@47.79747	TOID_SE
TI000205	60	DEATH_AH
TI000205	المدينة	TOPO_PR
TI000205	24.46861@39.61417	TOID_PR
TI000206	60	DEATH_AH
TI000206	البصرة	TOPO_PR
TI000206	30.53302@47.79747	TOID_PR
TI000206	المدينة	TOPO_SE
TI000206	24.46861@39.61417	TOID_SE
TI000207	60	DEATH_AH
TI000207	حمص	TOPO_PR
TI000207	34.72682@36.72339	TOID_PR
TI000208	60	DEATH_AH
TI000208	اليمامة	TOPO_PR
TI000208	24.302548@46.799011	TOID_PR
TI000208	مكة	TOPO_SE
TI000208	21.416667@39.816667	TOID_SE
TI000208	الشام	TOPO_SE
TI000208	34.672973@37.155762	TOID_SE
TI000209	60	DEATH_AH
TI000209	المدينة	TOPO_PR
